Incoming Calls,Outgoing Calls,Answered Calls,Answer Rate,Abandoned Calls,Answer Speed (AVG),Talk Duration (AVG),Waiting Time (AVG),Service Level (20 Seconds),Sales Rep
217,351,204,94.01%,13,00:00:17,00:02:14,00:02:45,76.28%,Rep09
200,400,182,91.00%,18,00:00:20,00:02:22,00:06:55,72.73%,Rep02
216,77,198,91.67%,18,00:00:18,00:02:38,00:03:50,74.30%,Rep06
155,315,145,93.55%,10,00:00:15,00:02:29,00:03:12,79.61%,Rep06
37,59,37,100.00%,0,00:00:03,00:02:06,00:00:35,97.30%,Rep06
315,95,304,96.51%,11,00:00:18,00:01:35,00:02:37,77.17%,Rep02
252,91,244,96.83%,8,00:00:13,00:01:50,00:02:02,82.00%,Rep10
213,303,205,96.24%,8,00:00:10,00:02:10,00:03:22,88.10%,Rep07
219,44,200,91.32%,19,00:00:15,00:02:18,00:06:12,79.45%,Rep01
371,373,348,93.80%,23,00:00:19,00:01:40,00:03:29,73.63%,Rep09
166,361,164,98.80%,2,00:00:12,00:02:10,00:02:46,81.33%,Rep10
32,89,32,100.00%,0,00:00:02,00:02:03,00:00:03,100.00%,Rep02
231,270,222,96.10%,9,00:00:08,00:01:49,00:02:18,86.46%,Rep02
205,254,197,96.10%,8,00:00:07,00:01:52,00:02:48,92.61%,Rep01
338,238,313,92.60%,25,00:00:13,00:01:51,00:03:40,80.06%,Rep06
180,326,174,96.67%,6,00:00:13,00:02:18,00:03:26,83.80%,Rep09
226,171,211,93.36%,15,00:00:20,00:02:04,00:04:53,76.23%,Rep07
226,359,212,93.81%,14,00:00:10,00:02:03,00:02:45,84.44%,Rep09
45,238,44,97.78%,1,00:00:02,00:02:04,00:00:55,97.78%,Rep04
218,105,194,88.99%,24,00:00:26,00:02:43,00:06:28,68.98%,Rep03
187,328,174,93.05%,13,00:00:15,00:02:16,00:04:39,81.52%,Rep04
191,65,184,96.34%,7,00:00:10,00:02:09,00:03:40,85.64%,Rep09
